symbol,date,entry_price,exit_date,exit_price,return,is_complete,in_optimal_zone,prev_weekly_red,prev_weekly_large_bottom_wick,prev_atr_declining,vol_spike,sector
IBM,2025-08-11 04:00:00,236.3,2026-01-09 05:00:00,303.88,0.2859923825645365,False,False,True,False,False,False,Tech
IBM,2025-08-12 04:00:00,234.77,2026-01-09 05:00:00,303.88,0.29437321633939595,False,False,True,False,False,False,Tech
AXP,2025-03-11 04:00:00,255.39,2026-01-09 05:00:00,374.32,0.4656799404831826,False,False,False,True,True,False,Finance
AXP,2025-03-12 04:00:00,260.75,2026-01-09 05:00:00,374.32,0.4355512943432407,False,False,False,True,True,False,Finance
AXP,2025-03-13 04:00:00,256.43,2026-01-09 05:00:00,374.32,0.45973560035877226,False,False,False,True,True,False,Finance
AXP,2025-04-04 04:00:00,233.68,2026-01-09 05:00:00,374.32,0.6018486819582334,False,False,False,True,True,True,Finance
AXP,2025-04-07 04:00:00,234.28,2026-01-09 05:00:00,374.32,0.5977462864947924,False,False,True,False,False,False,Finance
AXP,2025-04-08 04:00:00,231.39,2026-01-09 05:00:00,374.32,0.6177017157180518,False,False,True,False,False,False,Finance
GE,2025-04-04 04:00:00,166.81,2026-01-09 05:00:00,320.67,0.9223667645824591,False,False,False,False,True,True,Industrial
GE,2025-04-07 04:00:00,167.7,2026-01-09 05:00:00,320.67,0.9121645796064404,False,False,True,False,False,True,Industrial
GE,2025-04-08 04:00:00,169.37,2026-01-09 05:00:00,320.67,0.8933105036311035,False,False,True,False,False,False,Industrial
PM,2025-10-31 04:00:00,144.33,2026-01-09 05:00:00,161.67,0.12014134275618349,False,False,True,True,True,False,Staples
TXN,2025-04-04 04:00:00,151.39,2026-01-09 05:00:00,191.04,0.2619063346324064,False,True,False,False,True,True,Tech
TXN,2025-04-07 04:00:00,154.0,2026-01-09 05:00:00,191.04,0.24051948051948058,False,False,True,False,True,True,Tech
TXN,2025-04-08 04:00:00,146.01,2026-01-09 05:00:00,191.04,0.30840353400452036,False,True,True,False,True,False,Tech
TXN,2025-10-29 04:00:00,160.26,2026-01-09 05:00:00,191.04,0.19206289779108943,False,False,False,False,True,False,Tech
TXN,2025-10-30 04:00:00,160.51,2026-01-09 05:00:00,191.04,0.19020621768114143,False,False,False,False,True,False,Tech
TXN,2025-11-04 05:00:00,159.36,2026-01-09 05:00:00,191.04,0.19879518072289137,False,False,True,True,False,False,Tech
DHR,2025-02-03 05:00:00,214.26,2026-01-09 05:00:00,237.51,0.10851302156258757,False,False,False,False,True,False,Health
DHR,2025-02-05 05:00:00,212.13,2026-01-09 05:00:00,237.51,0.11964361476453123,False,False,False,False,True,False,Health
DHR,2025-02-06 05:00:00,210.01,2026-01-09 05:00:00,237.51,0.1309461454216465,False,False,False,False,True,False,Health
DHR,2025-02-07 05:00:00,206.76,2026-01-09 05:00:00,237.51,0.14872315728380725,False,False,False,False,True,False,Health
DHR,2025-02-10 05:00:00,203.5,2026-01-09 05:00:00,237.51,0.16712530712530715,False,False,True,False,False,False,Health
